id,title,source_url,application_url,source_url_status,application_url_status,provider_legitimate,scholarship_related,not_expired,has_application_path,pass,notes
marshall-scholarship,Marshall Scholarship,https://www.marshallscholarship.org/,https://www.marshallscholarship.org/apply/,ok:200,ok:200,true,true,true,true,true,pass
kth-excellence-award,KTH Excellence Scholarship and Award,https://www.kth.se/en/studies/master/admissions/scholarships,https://www.kth.se/en/studies/master/admissions/how-to-apply-for-masters-studies-1.68487,ok:200,ok:200,true,true,true,true,true,pass
forte-research,Forte Research Grants,https://forte.se/en/funding/,https://forte.se/en/funding/how-to-apply-for-a-grant,ok:200,ok:200,true,true,true,true,true,pass
uhr-international,UHR International Opportunities (Sweden),https://www.uhr.se/en/start/international-opportunities/,https://www.uhr.se/en/start/recognition-of-foreign-qualifications/how-to-apply-for-an-evaluation/,ok:200,ok:200,true,true,true,true,true,pass
erc-starting-grant,ERC Starting Grant,https://erc.europa.eu/apply-grant/starting-grant,https://erc.europa.eu/apply-grant,ok:200,ok:200,true,true,true,true,true,pass
ifpri-fellowship,IFPRI Visiting Research Fellowship,https://www.ifpri.org/page/fellowships,,ok:200,instructions_only,true,true,true,true,true,pass
journalistfonden,Swedish Journalism Foundation Scholarship,https://journalistfonden.se/,https://journalistfonden.se/ansokan,ok:200,ok:200,true,true,true,true,true,pass
carnegie-scholarship,Carnegie Trust Scholarships (for Scottish Universities),https://www.carnegie-trust.org/award-schemes/,,ok:200,instructions_only,true,true,true,true,true,pass
kau-scholarship,Karlstad University Scholarship,https://www.kau.se/en/education/explore-student-life/application-admission/scholarships,,ok:200,instructions_only,true,true,true,true,true,pass
hh-scholarship,Halmstad University Scholarship,https://www.hh.se/english/education/apply-to-halmstad-university/scholarships.html,https://www.hh.se/english/education/apply-to-halmstad-university.html,ok:200,ok:200,true,true,true,true,true,pass
cultural-foundation-finland,Swedish Cultural Foundation in Finland Scholarship,https://www.kulturfonden.fi/en/,https://www.kulturfonden.fi/stipendierobidrag/vad-hader-med-ansokan/,ok:200,ok:200,true,true,true,true,true,pass
swedish-fulbright,Fulbright Sweden – Swedish Study and Research Awards,https://www.fulbright.se/grants/,,ok:200,instructions_only,true,true,true,true,true,pass
slu-scholarship,Swedish University of Agricultural Sciences Scholarship,https://www.slu.se/en/study/application-and-admission/tuition-fees-and-scholarships/scholarships/,https://www.slu.se/en/study/application-and-admission/,ok:200,ok:200,true,true,true,true,true,pass
su-master-scholarship,Stockholm University Scholarship,https://www.su.se/english/education/how-to-apply/costs-fees-and-scholarships/scholarships,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,ok:200,ok:200,true,true,true,true,true,pass
uu-tuition-waiver,Uppsala University Tuition Fee Waiver,https://www.uu.se/en/study/masters-studies/scholarships,https://www.uu.se/en/study/masters-studies/scholarships/application-guide,ok:200,ok:200,true,true,true,true,true,pass
bth-bth-scholarship-programme-for-prospective-students,BTH scholarship programme for prospective students,https://www.bth.se/english/education/application-and-admission/scholarships,https://www.bth.se/english/education/application-and-admission,ok:200,ok:200,true,true,true,true,true,pass
kk-research,KK Foundation Research Grants,https://www.kks.se/en/funding-and-assessment/applying-for-funding/,https://www.kks.se/ansokan-och-bedomning/att-soka-finansiering/,ok:200,ok:200,true,true,true,true,true,pass
mdu-scholarship,Mälardalen University Scholarship Programme,https://www.mdu.se/en/malardalen-university/education/international/application-and-admission/malardalen-university-scholarship-programme,https://www.mdu.se/en/malardalen-university/education/international/application-and-admission,ok:200,ok:200,true,true,true,true,true,pass
rise-scholarship,RISE Research Institutes of Sweden Internship / Scholarship,https://www.ri.se/en/career/students,,ok:200,instructions_only,true,true,true,true,true,pass
oru-scholarship,Örebro University Scholarship,https://www.oru.se/english/study/master-students/scholarships/oruscholarship/,https://www.oru.se/english/study/master-students/how-to-apply/,ok:200,ok:200,true,true,true,true,true,pass
miun-scholarship,Mid Sweden University Tuition Fee Scholarship,https://www.miun.se/en/education/meet-mid-sweden-university/Fees-and-scholarships/Scholarship/Tuition-fee-Scholarship-Mid-Sweden-University-/,,ok:200,instructions_only,true,true,true,true,true,pass
ssf-research,Swedish Foundation for Strategic Research (SSF) Grants,https://strategiska.se/en/apply/,https://strategiska.se/en/events/last-date-to-apply-for-ssf-industrial-doctoral-studentship-2026/,ok:200,ok:200,true,true,true,true,true,pass
studyinsweden-scholarships,Study in Sweden – Scholarships Overview,https://studyinsweden.se/scholarships/,https://studyinsweden.se/plan-your-studies/how-to-apply/,ok:200,ok:200,true,true,true,true,true,pass
hhs-sse-scholarship,Stockholm School of Economics Scholarship,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/,https://www.mba.com/how-to-apply/scholarships-and-financing/gmat-talent-and-opportunity-scholarship,ok:200,ok:200,true,true,true,true,true,pass
umu-scholarship,Umeå University Scholarship,https://www.umu.se/en/education/application-and-admission/scholarships/,https://www.umu.se/en/education/application-and-admission/how-to-apply/,ok:200,ok:200,true,true,true,true,true,pass
lars-hiertas-minne-curated,Lars Hiertas Minne Foundation Research Grant,https://www.larshiertasminne.se/anslag/,https://www.larshiertasminne.se/sv/ansokan,ok:200,ok:200,true,true,true,true,true,pass