id,title,source,source_url,application_url,source_page_type,application_page_type,source_evidence_snippet,application_evidence_snippet,audit_status,audit_reason,suggested_fix
uu-tuition-waiver,Uppsala University Tuition Fee Waiver,Uppsala University,https://www.uu.se/en/study/masters-studies/scholarships,https://www.uu.se/en/study/masters-studies/scholarships/application-guide,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
su-master-scholarship,Stockholm University Scholarship,Stockholm University,https://www.su.se/english/education/how-to-apply/costs-fees-and-scholarships/scholarships,https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
umu-scholarship,Umeå University Scholarship,Umeå University,https://www.umu.se/en/education/application-and-admission/scholarships/,https://www.umu.se/en/education/application-and-admission/how-to-apply/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
oru-scholarship,Örebro University Scholarship,Örebro University,https://www.oru.se/english/study/master-students/scholarships/oruscholarship/,https://www.oru.se/english/study/master-students/how-to-apply/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
mdu-scholarship,Mälardalen University Scholarship Programme,Mälardalen University,https://www.mdu.se/en/malardalen-university/education/international/application-and-admission/malardalen-university-scholarship-programme,https://www.mdu.se/en/malardalen-university/education/international/application-and-admission,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
hh-scholarship,Halmstad University Scholarship,Halmstad University,https://www.hh.se/english/education/apply-to-halmstad-university/scholarships.html,https://www.hh.se/english/education/apply-to-halmstad-university.html,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
slu-scholarship,Swedish University of Agricultural Sciences Scholarship,Swedish University of Agricultural Sciences (SLU),https://www.slu.se/en/study/application-and-admission/tuition-fees-and-scholarships/scholarships/,https://www.slu.se/en/study/application-and-admission/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
miun-scholarship,Mid Sweden University Tuition Fee Scholarship,Mid Sweden University,https://www.miun.se/en/education/meet-mid-sweden-university/Fees-and-scholarships/Scholarship/Tuition-fee-Scholarship-Mid-Sweden-University-/,,official_scholarship_detail,,,,pass,passes static checks,
hhs-sse-scholarship,Stockholm School of Economics Scholarship,Stockholm School of Economics,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/,https://www.mba.com/how-to-apply/scholarships-and-financing/gmat-talent-and-opportunity-scholarship,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
erc-starting-grant,ERC Starting Grant,European Research Council,https://erc.europa.eu/apply-grant/starting-grant,https://erc.europa.eu/apply-grant,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
marshall-scholarship,Marshall Scholarship,British Government – Marshall Aid Commemoration Commission,https://www.marshallscholarship.org/,https://www.marshallscholarship.org/apply/,generic_homepage,official_scholarship_detail,,,manual_review,source URL is generic homepage,find scholarship-specific page on this domain
forte-research,Forte Research Grants,"Forte – Swedish Research Council for Health, Working Life and Welfare",https://forte.se/en/funding/,https://forte.se/en/funding/how-to-apply-for-a-grant,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
kk-research,KK Foundation Research Grants,KK Foundation (Stiftelsen för Kunskaps- och Kompetensutveckling),https://www.kks.se/en/funding-and-assessment/applying-for-funding/,https://www.kks.se/ansokan-och-bedomning/att-soka-finansiering/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
lars-hiertas-minne-curated,Lars Hiertas Minne Foundation Research Grant,Lars Hiertas Minne Foundation,https://www.larshiertasminne.se/sv/anslag,https://www.larshiertasminne.se/sv/ansokan,official_scholarship_detail,official_application_form,,,pass,passes static checks,
cultural-foundation-finland,Swedish Cultural Foundation in Finland Scholarship,Swedish Cultural Foundation in Finland,https://www.kulturfonden.fi/2018/05/23/en-akt-for-flera-stammor/,https://www.kulturfonden.fi/stipendierobidrag/vad-hader-med-ansokan/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
swedish-fulbright,Fulbright Sweden – Swedish Study and Research Awards,Fulbright Commission Sweden,https://www.fulbright.se/grants/,,official_scholarship_detail,,,,pass,passes static checks,
journalistfonden,Swedish Journalism Foundation Scholarship,Swedish Journalism Foundation (Journalistfonden),https://journalistfonden.se/,https://journalistfonden.se/ansokan,generic_homepage,official_application_form,,,manual_review,source URL is generic homepage,find scholarship-specific page on this domain
studyinsweden-scholarships,Study in Sweden – Scholarships Overview,Study in Sweden (SI),https://studyinsweden.se/scholarships/,https://studyinsweden.se/plan-your-studies/how-to-apply/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
rise-scholarship,RISE Research Institutes of Sweden Internship / Scholarship,RISE Research Institutes of Sweden,https://www.ri.se/sv,,official_scholarship_detail,,,,pass,passes static checks,
ifpri-fellowship,IFPRI Visiting Research Fellowship,International Food Policy Research Institute,https://www.ifpri.org/page/fellowships,,official_scholarship_detail,,,,pass,passes static checks,
ssf-research,Swedish Foundation for Strategic Research (SSF) Grants,Swedish Foundation for Strategic Research (SSF),https://strategiska.se/en/call-for-proposal/apply-for-a-postdoc-in-japan-2026/,https://strategiska.se/en/events/last-date-to-apply-for-ssf-industrial-doctoral-studentship-2026/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
uhr-international,UHR International Opportunities (Sweden),UHR – Swedish Council for Higher Education,https://www.uhr.se/en/start/international-opportunities/,https://www.uhr.se/en/start/recognition-of-foreign-qualifications/how-to-apply-for-an-evaluation/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
carnegie-scholarship,Carnegie Trust Scholarships (for Scottish Universities),Carnegie Trust for the Universities of Scotland,https://carnegie-trust.org/grant-programmes/,,official_scholarship_detail,,,,pass,passes static checks,
kth-excellence-award,KTH Excellence Scholarship and Award,KTH Royal Institute of Technology,https://www.kth.se/en/studies/master/admissions/scholarships,https://www.kth.se/en/studies/master/admissions/how-to-apply-for-masters-studies-1.68487,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
chalmers-how-to-apply-for-a-scholarship,How to apply for a scholarship,Chalmers University of Technology,https://www.chalmers.se/en/education/application-and-admission/scholarships-for-fee-paying-students/,https://www.universityadmissions.se/intl/start,official_scholarship_detail,official_scholarship_detail,,,reject,expired deadline,remove or archive
lund-scholarships-at-lund-university,Scholarships at Lund University,Lund University,https://www.student.lth.se/english/masters-students/scholarships/,https://www.student.lth.se/english/masters-students/apply-for-courses/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
uu-external-funding-options,External funding options,Uppsala University,https://www.uu.se/en/study/masters-studies/scholarships/external-scholarships,https://www.uu.se/en/study/masters-studies/application,official_scholarship_detail,official_scholarship_detail,,,reject,expired deadline,remove or archive
gu-scholarships-provided-by-the-university,Scholarships provided by the University,University of Gothenburg,https://www.gu.se/en/study-in-gothenburg/apply/scholarships-for-fee-paying-students,https://www.gu.se/en/study-in-gothenburg/apply,official_scholarship_detail,official_scholarship_detail,,,reject,expired deadline,remove or archive
liu-scholarships-for-studies-in-sweden,Scholarships for studies in Sweden,Linköping University,https://si.se/en/apply/scholarships/,https://si.se/en/apply/,generic_admissions_page,official_scholarship_detail,,,manual_review,source URL is generic admissions page,find specific scholarship detail page
mau-country-specific-scholarships,Country specific scholarships,Malmö University,https://mau.se/en/education/scholarships/,https://mau.se/en/education/applications-and-admissions/,generic_admissions_page,official_scholarship_detail,,,reject,source URL is generic admissions page; expired deadline,find specific scholarship detail page
ju-other-scholarships,Other scholarships,Jönköping University,https://ju.se/en/study-at-ju/application-and-admission/scholarships-and-funding.html,https://ju.se/en/about-us/brand-portal.html,official_scholarship_detail,official_scholarship_detail,,,reject,expired deadline,remove or archive
kau-scholarships,Scholarships,Karlstad University,https://www.kau.se/en/education/study-us/application-admission/scholarships,,generic_admissions_page,,,,reject,source URL is generic admissions page; expired deadline,find specific scholarship detail page
ki-scholarships-provided-by-ki,Scholarships provided by KI,Karolinska Institutet,https://education.ki.se/bachelors-masters-studies/scholarships/the-ki-global-masters-scholarships-for-fee-paying-students,https://www.universityadmissions.se/en/fees-scholarships-residence-permit/pay-your-application-fee/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
bth-bth-scholarship-programme-for-prospective-students,BTH scholarship programme for prospective students,Blekinge Institute of Technology,https://www.bth.se/english/education/application-and-admission/scholarships,https://www.bth.se/english/education/application-and-admission,generic_admissions_page,official_scholarship_detail,,,reject,source URL is generic admissions page; expired deadline,find specific scholarship detail page
hhs-read-more-about-the-scholarship-application-process-past-projects-and-scholarshi,"Read more about the scholarship, application process, past projects and scholarship holders here!",Stockholm School of Economics,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/gels-scholarship/,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/gels-scholarship/apply-for-scholarship/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
hhs-read-more-about-the-minor-field-studies-scholarship-here,Read more about the Minor Field Studies Scholarship here,Stockholm School of Economics,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/minor-field-studies/,https://www.hhs.se/en/education/study-at-sse/tuition-and-fees/minor-field-studies/application--admission/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
si-its-about-people-planet-and-profit-something-i-will-take-with-me-wherever-i-go,"“It’s about people, planet and profit – something I will take with me wherever I go”",Swedish Institute,https://si.se/en/bangaly-danfakhas-move-to-sweden-marks-a-new-chapter-in-sustainable-marketing/,https://si.se/en/bangaly-danfakhas-move-to-sweden-marks-a-new-chapter-in-sustainable-marketing/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
hb-scholarships-from-the-university-of-bors,Scholarships from the University of Borås,University of Borås,https://www.hb.se/en/international-student/fees-and-scholarships/scholarships/,https://www.hb.se/en/research/research-portal/research-areas/business-and-it/,generic_admissions_page,official_scholarship_detail,,,reject,source URL is generic admissions page; expired deadline,find specific scholarship detail page
vr-project-grant-for-planning-or-pilot-study-for-a-future-clinical-study-in-therapy,Project grant for planning or pilot study for a future clinical study in therapy research,Swedish Research Council,https://www.vr.se/english/applying-for-funding/calls/2025-11-11-project-grant-for-planning-or-pilot-study-for-a-future-clinical-study-in-therapy-research.html,https://www.vr.se/english/applying-for-funding/prisma.html,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
wallenberg-wallenberg-academy-fellows-prolongation-grants,Wallenberg Academy Fellows prolongation grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/wallenberg-academy-fellows-prolongation-grants-2024,,official_scholarship_detail,,,,pass,passes static checks,
wallenberg-wallenberg-clinical-scholars-prolongation-grants,Wallenberg Clinical Scholars prolongation grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/wallenberg-clinical-scholars-prolongation-grants-2025,,official_scholarship_detail,,,,pass,passes static checks,
wallenberg-scholarship-programs,Scholarship programs,Wallenberg Foundations,https://kaw.wallenberg.org/en/scholarship-programs-20242025,,official_scholarship_detail,,,,pass,passes static checks,
wallenberg-proof-of-concept-grants,Proof of Concept grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/awarded-proof-concept-grants-2025-calls,,official_scholarship_detail,,,,pass,passes static checks,
wallenberg-strategic-grants,Strategic Grants,Wallenberg Foundations,https://kaw.wallenberg.org/en/strategic-grants,,official_scholarship_detail,,,,pass,passes static checks,
forte2-funding-opportunities,Funding opportunities,Forte,https://forte.se/en/funding/funding-opportunities,,official_scholarship_detail,,,,manual_review,no application URL or instructions,find application form or add clear instructions
stint-jsps-invitational-fellowship-long-term-l,JSPS Invitational Fellowship Long-term [L],STINT,https://www.jsps.go.jp/english/e-inv/index.html,https://www-shinsei.jsps.go.jp/topkokusai/top_kokusai.html,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
stint-the-moonshot-program-various-funding-agencies,The Moonshot Program (various funding agencies),STINT,https://www8.cao.go.jp/cstp/english/moonshot/top.html,,official_scholarship_detail,,,,reject,no application URL or instructions; expired deadline,find application form or add clear instructions
hkr-scholarship,Scholarship,Kristianstad University,https://www.hkr.se/en/study-at-hkr/non-exchange-student/scholarship/,https://www.hkr.se/en/study-at-hkr/exchange-student/application-and-admission/living-costs/,generic_admissions_page,official_scholarship_detail,,,reject,source URL is generic admissions page; expired deadline,find specific scholarship detail page
hjart-hjrt-lungfondens-forskningsanslag,Hjärt-Lungfondens forskningsanslag,Swedish Heart-Lung Foundation,https://www.hjart-lungfonden.se/forskning/,https://f3app.prod.f3.hjart-lungfonden.se/?returnUrl=applications,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,
chevening-more-on-chevening-scholarships,More on Chevening Scholarships,Chevening Scholarships,https://www.chevening.org/scholarships/who-can-apply/,https://www.chevening.org/scholarships/who-can-apply/,official_scholarship_detail,official_scholarship_detail,,,pass,passes static checks,